"Power_WDM","EDFA1","EDFA2","EDFA3","Total_Gain","Total_Power","Min_BER","Max_Q_Factor"
2,20,20,20,-26.71220065,-50.55820511,0.022648132,4.081241437
2,20,21,21,-25.71331921,-48.52247626,0.002253858,3.972148919
2,20,25,25,-22.25052484,-41.59787414,0.000363549,3.351881501
2,20,29,29,-20.16623953,-36.70892164,0.250246081,4.175443665
2,20,33,33,-20.87998624,-37.70620442,0.000403623,4.987189402
2,21,20,21,-25.71223761,-48.72141291,0.077833886,4.136710341
2,21,21,20,-26.61732735,-50.51689127,0.044208509,4.110849773
2,21,21,21,-25.68840725,-48.68382741,0.041666245,4.107459798
2,22,22,22,-24.76363091,-46.94583276,0.065137991,4.126135826
2,22,22,25,-22.23417553,-41.86547129,1.95839E-05,3.731201889
2,22,25,22,-24.74644521,-46.81900123,0.001583171,3.949349759
2,23,23,23,-23.90883634,-45.05878833,0.036183661,4.093782637
2,23,23,30,-19.72779062,-35.93558362,0.000361838,3.303502306
2,23,30,23,-24.41216535,-45.39981875,6.47588E-06,4.87232
2,24,24,24,-23.10375689,-43.51259734,0.00107471,3.920143724
2,24,24,35,-19.61063362,-35.44823516,1,0
2,24,35,24,-25.85170696,-46.98363459,0.004471791,2.351492175
2,25,20,25,-22.41942564,-42.04995027,0.007857005,4.013067171
2,25,22,22,-24.90831462,-46.93527594,0.005918019,4.555827413
2,25,25,20,-26.65121212,-50.29921604,4.81385E-05,4.380539268
2,25,25,25,-22.54095667,-42.07468391,4.19927E-05,4.401578349
2,25,26,26,-21.91989969,-40.77063014,8.40069E-06,4.879185592
2,25,30,30,-20.79338809,-36.98545541,0.000336151,3.244192131
2,25,34,34,-20.99961423,-38.04065635,0.001242584,2.882941828
2,26,25,26,-22.08715945,-40.88755779,0.498946556,4.726057143
2,26,26,25,-22.81708262,-42.47089206,0.036569775,4.636528323
2,26,26,26,-22.17095473,-41.0666517,2.184E-06,4.835118791
2,27,27,27,-22.09526369,-40.19716379,3.11802E-07,5.251994543
2,27,27,30,-21.12760781,-37.22887105,0.000136342,3.454253813
2,27,30,27,-22.88191043,-40.87075216,0.175653756,5.522408891
2,28,28,28,-22.30907806,-39.66797933,5.03177E-05,4.849218324
2,28,28,35,-20.19369453,-35.16260457,1,0
2,28,35,28,-24.5506807,-43.26688043,0.000864716,3.035250248
2,29,20,29,-21.88432423,-39.18607912,0.001526818,2.814569957
2,29,29,20,-28.11473446,-51.56853494,0.000343734,4.415638935
2,29,29,29,-22.20033412,-39.34675238,0.000135369,3.654660403
2,30,23,23,-25.32645121,-46.55017498,0.000590129,3.168362918
2,30,25,30,-22.0546219,-39.23280127,1,0
2,30,27,27,-23.54759356,-41.96555696,0.000179231,3.494983395
2,30,30,25,-25.39052546,-45.5773097,0.000633713,3.051127932
2,30,30,30,-22.01002999,-39.4941289,0.00097825,3.038293863
2,30,31,31,-21.80315697,-39.3204706,1,0
2,30,35,35,-20.59865742,-35.98898735,0.013459374,2.146247856
2,31,30,31,-21.97677064,-39.24020361,0.007335508,4.038706513
2,31,31,30,-22.56158727,-40.48607179,1,0
2,31,31,31,-22.02408602,-39.65876989,0.000160669,3.59741812
2,32,20,32,-22.65791378,-38.62261316,0.005132608,2.538898582
2,32,32,32,-21.48247036,-38.57400377,0.007813735,2.361968457
2,32,32,35,-20.87147816,-36.09642521,0.003028329,2.677157901
2,33,20,33,-21.11487645,-38.5123131,0.010954163,2.23263023
2,33,33,20,-30.07487643,-55.31988352,1,0
2,33,33,33,-21.66007328,-37.67420695,1,0
2,34,25,34,-20.86636099,-37.37077075,0.008451146,2.376743584
2,34,34,25,-26.96938063,-48.39076259,0.012545138,2.165702764
2,34,34,34,-21.67633147,-36.481444,1,0
2,35,24,24,-27.36362536,-49.58110856,0.004888786,2.552361822
2,35,28,28,-24.21864425,-43.64706362,0.00875637,2.369017082
2,35,30,35,-20.39565294,-36.21271955,0.002548722,2.764520545
2,35,32,32,-21.79621132,-39.64761433,0.001185681,2.958481221
2,35,35,30,-23.8082295,-42.13988639,1,0
2,35,35,35,-21.75365929,-36.67815787,0.000263089,3.463471041
4,20,20,20,-28.49719275,-50.11976448,0.482640001,4.220427957
4,20,21,21,-27.50125523,-48.13580637,0.126631296,4.157603985
4,20,25,25,-24.07884771,-41.30830931,0.390760566,4.219231507
4,20,29,29,-22.28925551,-36.60638428,0.003901404,3.943159807
4,20,33,33,-22.59968635,-38.08464567,1,0
4,21,20,21,-27.57748206,-48.3449707,4.63882E-06,4.30835872
4,21,21,20,-28.48388889,-50.11851457,6.00533E-06,4.31889844
4,21,21,21,-27.54442321,-48.31172266,2.62319E-06,4.287376804
4,22,22,22,-26.62034687,-46.48372177,1.97043E-06,4.273307549
4,22,22,25,-24.07775239,-41.43144973,2.82417E-05,3.744224973
4,22,25,22,-26.6504278,-46.41926434,0.011856623,4.039481216
4,23,23,23,-25.78705066,-44.72728694,0.148482576,4.153285545
4,23,23,30,-22.00302614,-36.03805903,0.000841556,2.993406173
4,23,30,23,-26.53801574,-45.3627058,3.07589E-07,5.274861593
4,24,24,24,-25.05002015,-43.11497654,0.009237592,4.049962363
4,24,24,35,-21.52699295,-35.19568556,1.01729E-05,3.717633921
4,24,35,24,-28.30113473,-47.65573312,0.000129355,3.632703926
4,25,20,25,-24.32525119,-41.73700311,0.000404331,3.862803226
4,25,22,22,-26.82069299,-46.62456676,0.007336071,4.557314481
4,25,25,20,-28.57992161,-50.06145696,1.77445E-05,4.337583954
4,25,25,25,-24.53124106,-41.87865526,0.039856503,4.641082672
4,25,26,26,-23.989487,-40.58372877,0.016150655,5.08306121
4,25,30,30,-23.09638213,-37.56203008,0.002005166,2.737632818
4,25,34,34,-22.54956099,-37.74043929,1,0
4,26,25,26,-24.12227401,-40.74910375,0.000489932,4.981853803
4,26,26,25,-24.86724901,-42.24112674,0.00127959,5.010608406
4,26,26,26,-24.25610621,-40.86109262,0.800951272,5.18061
4,27,27,27,-24.33772749,-40.15320793,0.166528372,5.100150645
4,27,27,30,-23.19277795,-37.13430263,0.000696586,3.033709127
4,27,30,27,-25.14276565,-41.0345568,0.000254676,4.871081994
4,28,28,28,-24.49093332,-39.71734368,0.001397674,4.393032713
4,28,28,35,-21.7125792,-35.64938131,1,0
4,28,35,28,-26.44690946,-43.13779368,1,0
4,29,20,29,-24.1885116,-39.48627018,0.001794764,2.85979363
4,29,29,20,-30.54058958,-51.95483727,0.002254773,3.859386478
4,29,29,29,-24.16224092,-39.5514089,0.000636025,3.222210864
4,30,23,23,-27.54530593,-46.59551468,0.000592854,3.14873499
4,30,25,30,-24.08477979,-39.31828896,0.00552401,2.374289654
4,30,27,27,-25.66770232,-42.2333209,0.002493273,2.804159246
4,30,30,25,-27.53137257,-46.04242386,1,0
4,30,30,30,-24.15928349,-39.67984337,1,0
4,30,31,31,-23.87015044,-39.50319446,1,0
4,30,35,35,-22.93345694,-35.19106556,0.000114438,3.660841404
4,31,30,31,-24.18391771,-39.48966616,1,0
4,31,31,30,-24.80231533,-40.6720919,1,0
4,31,31,31,-24.00377075,-39.56888798,0.009002875,2.266300151
4,32,20,32,-25.15593979,-38.11781494,0.001484413,2.968670785
4,32,32,32,-23.64289823,-37.96773655,0.006311698,2.481039735
4,32,32,35,-22.74547435,-34.57985209,0.000561748,3.173045209
4,33,20,33,-23.02012835,-37.86077143,0.013538739,2.102222965
4,33,33,20,-32.21658539,-55.43655341,1,0
4,33,33,33,-23.75933498,-36.81425795,1,0
4,34,25,34,-22.56529519,-36.82953779,1,0
4,34,34,25,-29.03330378,-48.03296976,0.00297869,2.747793537
4,34,34,34,-23.89904859,-36.64938231,0.001284306,3.000107249
4,35,24,24,-29.15292945,-49.63366832,0.006322437,2.467240856
4,35,28,28,-26.11824044,-44.24175899,1,0
4,35,30,35,-22.33954802,-36.11316195,1,0
4,35,32,32,-24.23104526,-39.4066231,0.003016521,2.591861083
4,35,35,30,-26.27062207,-42.14100952,1,0
4,35,35,35,-22.85331284,-36.02856207,0.001121851,3.949080126
6,20,20,20,-30.36863022,-49.80573271,0.001197667,4.507359008
6,20,21,21,-29.3715697,-47.83953478,0.000877236,4.495546241
6,20,25,25,-26.03525849,-41.11955829,0.000831488,4.508194705
6,20,29,29,-24.526697,-36.71236547,0.00010703,3.574236574
6,20,33,33,-25.00041006,-38.41742841,0.000341837,3.392077429
6,21,20,21,-29.45527534,-47.9248402,0.000663341,4.483611049
6,21,21,20,-30.34676161,-49.74503637,0.00116671,4.504121606
6,21,21,21,-29.40826003,-47.87608454,0.000422196,4.468192816
6,22,22,22,-28.50616812,-46.08662396,3.21316E-05,4.369918322
6,22,22,25,-26.00929022,-41.07355398,0.161492611,4.182749514
6,22,25,22,-28.54138279,-46.08673387,0.067013988,4.14257966
6,23,23,23,-27.74285161,-44.49395092,0.052388847,4.097274609
6,23,23,30,-24.40895219,-36.31533211,0.001301895,2.790453782
6,23,30,23,-28.91467728,-45.53663444,1.25542E-05,5.341903102
6,24,24,24,-27.07021064,-42.97590459,1.13866E-05,4.351169458
6,24,24,35,-23.07092909,-35.17020408,0.00964345,2.321239798
6,24,35,24,-30.85029018,-48.14905904,0.00022662,3.433682121
6,25,20,25,-26.31366966,-41.50027047,0.026406362,4.092167738
6,25,22,22,-28.76295311,-46.3426729,4.36065E-05,4.365222861
6,25,25,20,-30.58537447,-49.83492542,0.01199593,4.055978807
